的	720931	-2.91617065661
在	161661	-4.4112125388
了	158353	-4.43188737072
和	144175	-4.5256862494
是	115570	-4.74683768192
一	78090	-5.13885208123
第	70290	-5.24408454772
年	62782	-5.35704568072
有	60339	-5.39673542806
中	59420	-5.41208321887
这	59209	-5.41564053154
为	58165	-5.43343028963
中国	52068	-5.5441635323
对	51486	-5.55540416285
上	49086	-5.60314022714
要	48630	-5.61247346449
他	46106	-5.66577099553
发展	46026	-5.6675076347
版	41646	-5.76750876332
日	41390	-5.77367478314
经济	41154	-5.77939296116
月	40832	-5.78724800118
多	39882	-5.81078899462
与	38875	-5.8363627184
人	38851	-5.8369802724
说	38779	-5.83883522591
不	36217	-5.90718546705
个	34792	-5.94732661361
到	34738	-5.94887990027
等	34489	-5.95607365629
地	33530	-5.98427352843
两	33034	-5.9991767548
企业	32302	-6.02158494109
也	31901	-6.03407673164
工作	31462	-6.0479336205
以	31421	-6.04923762972
大	29951	-6.09715137592
建设	29897	-6.09895594799
国家	28863	-6.13415359086
将	28694	-6.14002604723
一个	28444	-6.14877684688
万	28035	-6.16326035933
我们	28021	-6.16375985984
新	27574	-6.17984078915
本	27401	-6.18613457983
就	27294	-6.19004719109
都	25544	-6.25631163349
问题	24814	-6.28530607888
从	24791	-6.28623340482
会	24754	-6.28772699679
我	23298	-6.34834656893
记者	23203	-6.35243250825
着	23201	-6.35251870771
三	23155	-6.35450334897
报	23107	-6.35657848698
来	22973	-6.36239447559
国际	22073	-6.40235894674
元	21638	-6.42226306064
把	21515	-6.42796372261
已	21100	-6.44744104842
社会	21053	-6.44967102112
并	20777	-6.46286748324
时	20775	-6.46296374816
国	20761	-6.46363786221
还	20573	-6.47273455241
于	20384	-6.48196380951
而	19972	-6.50238279627
之	19937	-6.50413678704
好	19731	-6.51452308592
市	19604	-6.52098046186
后	19504	-6.52609451616
他们	19398	-6.53154412093
出	19294	-6.53691992216
向	19213	-6.54112695565
下	18948	-6.55501570384
市场	18942	-6.5553324101
进行	18001	-6.606286777
张	17554	-6.63143224473
全国	17116	-6.65670039035
北京	16953	-6.66626927959
又	16800	-6.67533520249
使	16681	-6.68244374173
电	16190	-6.71232032121
由	16165	-6.71386567773
但	16083	-6.71895127539
关系	16029	-6.72231450726
很	15572	-6.75123965916
文化	15372	-6.7641664162
政府	15345	-6.76592440083
我国	15326	-6.76716335636
新华社	15149	-6.77877956573
名	15110	-6.78135731262
队	14924	-6.79374343354
被	14722	-6.80737111527
次	14673	-6.81070501868
教育	14616	-6.81459726983
合作	14485	-6.82360045768
改革	14375	-6.83122350222
地区	14260	-6.83925567392
里	14192	-6.84403566334
管理	14142	-6.84756499572
领导	14042	-6.85466125031
二	13978	-6.85922942385
